StatisticalTable,"7.4.2 Consumer Price Indexes (2015=100) (All Cities, Special Groups)","7.4.2 Consumer Price Indexes (2015=100) (All Cities, Special Groups)","7.4.2 Consumer Price Indexes (2015=100) (All Cities, Special Groups)","7.4.2 Consumer Price Indexes (2015=100) (All Cities, Special Groups)"
ItemNames1,Allitems,Excluding Agricultural products & oils,Excluding Food & Energy,For living necessaries
Unit,2015=100,2015=100,2015=100,2015=100
Weight,1000,901.4,776.7,551.6
Conversion,Original Data,Original Data,Original Data,Original Data
2015/08,100.37,100.33,100.47,100.27
2015/09,100.11,100.15,100.24,100.17
2015/10,100.11,100.36,100.34,100.11
2015/11,99.92,100.4,100.4,99.86
2015/12,100.22,100.61,100.62,100.09
2016/01,100.39,100.97,101.09,100.19
2016/02,100.82,101.22,101.33,100.75
2016/03,100.56,101.29,101.46,100.39
2016/04,100.75,101.49,101.64,100.41
2016/05,100.81,101.67,101.88,100.37
2016/06,100.79,101.75,101.9,100.49
2016/07,100.6,101.51,102.12,99.85
2016/08,100.86,101.64,102.31,100.07
2016/09,101.46,101.68,102.24,101.19
2016/10,101.6,102.12,102.2,101.55
2016/11,101.45,101.98,102.1,101.5
2016/12,101.56,101.86,102.23,101.32
2017/01,102.43,102.49,102.78,102.63
2017/02,102.77,102.73,103.08,103.11
2017/03,102.79,102.75,103.15,103.21
2017/04,102.66,102.84,103.21,102.88
2017/05,102.8,103.12,103.44,102.92
2017/06,102.67,103.16,103.43,102.83
2017/07,102.86,103.34,103.63,102.95
2017/08,103.48,103.42,103.79,103.77
2017/09,103.59,103.3,103.64,104.08
2017/10,103.4,103.49,103.83,103.59
2017/11,102.72,103.19,103.55,102.78
2017/12,,,,
