StatisticalTable,6.1.3 Stock Trading by Investor Group,6.1.3 Stock Trading by Investor Group,6.1.3 Stock Trading by Investor Group
ItemNames1,  Institution(Net Purchases),  Individuals(Net Purchases),  Foreigners(Net Purchases)
ItemNames2,Trading Value,Trading Value,Trading Value
Unit,Mil.Won,Mil.Won,Mil.Won
Conversion,Original Data,Original Data,Original Data
2014/06,"-392,235","-484,640","1,122,267"
2014/07,"-2,247,369","-1,560,323","4,070,121"
2014/08,"-1,672,094","532,318","1,824,394"
2014/09,"108,035","660,265","-622,435"
2014/10,"2,289,148","328,783","-2,035,893"
2014/11,"836,884","-2,111,791","1,551,188"
2014/12,"1,978,615","-779,866","-2,315,898"
2015/01,"-669,087","223,457","-1,038,983"
2015/02,"527,574","-1,780,042","1,325,711"
2015/03,"-2,844,835","152,772","2,911,058"
2015/04,"-3,580,128","-749,396","4,649,319"
2015/05,"-1,943,086","949,972","1,725,332"
2015/06,"-389,516","1,454,510","-1,049,689"
2015/07,"-903,300","2,875,542","-1,791,192"
2015/08,"3,004,201","358,906","-4,109,244"
2015/09,"1,951,529","-138,355","-1,744,879"
2015/10,"1,024,538","-1,562,763","720,235"
2015/11,"514,388","-811,418","-1,930,949"
2015/12,"2,843,138","-1,376,948","-3,245,059"
2016/01,"3,137,320","1,151,836","-2,966,183"
2016/02,"1,463,014","-1,838,980","300,459"
2016/03,"-2,929,668","-1,363,156","3,431,626"
2016/04,"-1,886,586","-532,937","1,944,117"
2016/05,"-1,203,774","377,415","185,239"
2016/06,"248,789","-1,283,077","806,371"
2016/07,"-3,369,872","-956,590","4,009,711"
2016/08,"-1,327,044","-825,453","1,364,989"
2016/09,"-1,982,413","-21,107","1,104,237"
2016/10,"458,884","-958,179","429,720"
2016/11,"1,836,864","-910,449","-329,508"
2016/12,"345,356","-1,444,626","1,055,161"
2017/01,"-1,964,462","15,311","1,637,845"
2017/02,"678,215","-1,702,130","307,626"
2017/03,"-3,661,645","-999,480","3,507,004"
2017/04,"-219,785","-756,280","803,980"
2017/05,"217,701","-1,931,499","1,334,547"
2017/06,"-3,311,043","1,276,756","1,658,569"
2017/07,"1,782,944","-867,986","-524,741"
2017/08,"1,712,542","-363,575","-1,875,161"
2017/09,"1,358,272","-180,684","-1,589,881"
2017/10,"-3,252,406","117,548","2,975,863"
