,article_counts,month
0,51,2004/01
1,62,2004/02
2,23,2004/05
3,36,2004/06
4,21,2004/07
5,25,2004/08
6,43,2004/09
7,44,2004/10
8,23,2004/11
9,20,2004/12
10,19,2005/01
11,58,2005/02
12,64,2005/05
13,39,2005/06
14,46,2005/07
15,31,2005/08
16,38,2005/09
17,24,2005/10
18,13,2005/11
19,11,2005/12
20,21,2006/01
21,13,2006/02
22,29,2006/05
23,37,2006/06
24,68,2006/07
25,18,2006/08
26,22,2006/09
27,217,2006/10
28,49,2006/11
29,33,2006/12
30,33,2007/01
31,47,2007/02
32,27,2007/05
33,39,2007/06
34,35,2007/07
35,9,2007/08
36,41,2007/09
37,47,2007/10
38,28,2007/11
39,32,2007/12
40,28,2008/01
41,20,2008/02
42,31,2008/05
43,34,2008/06
44,32,2008/07
45,22,2008/08
46,37,2008/09
47,38,2008/10
48,20,2008/11
49,20,2008/12
50,26,2009/01
51,27,2009/02
52,73,2009/05
53,84,2009/06
54,44,2009/07
55,43,2009/08
56,53,2009/09
57,31,2009/10
58,32,2009/11
59,37,2009/12
60,28,2010/01
61,27,2010/02
62,39,2010/05
63,27,2010/06
64,20,2010/07
65,24,2010/08
66,19,2010/09
67,13,2010/10
68,52,2010/11
69,59,2010/12
70,29,2011/01
71,13,2011/02
72,8,2011/05
73,10,2011/06
74,11,2011/07
75,22,2011/08
76,15,2011/09
77,23,2011/10
78,10,2011/11
79,59,2011/12
80,27,2012/01
81,25,2012/02
82,21,2012/05
83,17,2012/06
84,15,2012/07
85,16,2012/08
86,18,2012/09
87,16,2012/10
88,7,2012/11
89,30,2012/12
90,30,2013/01
91,51,2013/02
92,44,2013/05
93,35,2013/06
94,24,2013/07
95,16,2013/08
96,33,2013/09
97,28,2013/10
98,26,2013/11
99,29,2013/12
100,22,2014/01
101,24,2014/02
102,12,2014/05
103,13,2014/06
104,15,2014/07
105,17,2014/08
106,4,2014/09
107,21,2014/10
108,22,2014/11
109,30,2014/12
110,26,2015/01
111,9,2015/02
112,21,2015/05
113,12,2015/06
114,12,2015/07
115,23,2015/08
116,13,2015/09
117,12,2015/10
118,11,2015/11
119,16,2015/12
120,68,2016/01
121,39,2016/02
122,40,2016/05
123,20,2016/06
124,20,2016/07
125,72,2016/08
126,271,2016/09
127,54,2016/10
128,23,2016/11
129,33,2016/12
130,30,2017/01
131,41,2017/02
132,82,2017/05
133,48,2017/06
134,78,2017/07
135,184,2017/08
136,188,2017/09
137,86,2017/10
138,126,2017/11
139,103,2017/12
